127.0.0.1 - - [29/May/2025:06:28:49 +0000] "POST /api/auth/users HTTP/1.1" 404 236 "-" "PostmanRuntime/7.44.0"
127.0.0.1 - - [29/May/2025:06:28:57 +0000] "POST /api/auth/register HTTP/1.1" 400 147 "-" "PostmanRuntime/7.44.0"
127.0.0.1 - - [29/May/2025:06:29:48 +0000] "POST /api/auth/register HTTP/1.1" 400 147 "-" "PostmanRuntime/7.44.0"
127.0.0.1 - - [29/May/2025:06:30:58 +0000] "GET /api/auth/users HTTP/1.1" 200 3187 "-" "PostmanRuntime/7.44.0"
127.0.0.1 - - [29/May/2025:06:31:48 +0000] "POST /api/auth/register HTTP/1.1" 400 147 "-" "PostmanRuntime/7.44.0"
127.0.0.1 - - [29/May/2025:06:32:00 +0000] "POST /api/auth/register HTTP/1.1" 400 147 "-" "PostmanRuntime/7.44.0"
127.0.0.1 - - [29/May/2025:06:32:36 +0000] "POST /api/auth/register HTTP/1.1" 400 147 "-" "PostmanRuntime/7.44.0"
127.0.0.1 - - [29/May/2025:06:33:07 +0000] "POST /api/auth/register HTTP/1.1" 201 42 "-" "PostmanRuntime/7.44.0"
127.0.0.1 - - [29/May/2025:06:34:25 +0000] "POST /api/auth/login HTTP/1.1" 401 24 "-" "PostmanRuntime/7.44.0"
127.0.0.1 - - [29/May/2025:06:37:46 +0000] "POST /api/auth/login HTTP/1.1" 401 38 "-" "PostmanRuntime/7.44.0"
127.0.0.1 - - [29/May/2025:06:38:02 +0000] "POST /api/auth/login HTTP/1.1" 401 38 "-" "PostmanRuntime/7.44.0"
127.0.0.1 - - [29/May/2025:06:38:12 +0000] "POST /api/auth/login HTTP/1.1" 200 213 "-" "PostmanRuntime/7.44.0"
127.0.0.1 - - [29/May/2025:06:38:27 +0000] "GET /api/auth/users HTTP/1.1" 200 3482 "-" "PostmanRuntime/7.44.0"
127.0.0.1 - - [29/May/2025:06:41:27 +0000] "POST /api/auth/6837ffa33083c5568ba6bd6c/profile HTTP/1.1" 404 263 "-" "PostmanRuntime/7.44.0"
127.0.0.1 - - [29/May/2025:06:41:42 +0000] "GET /api/auth/6837ffa33083c5568ba6bd6c/profile HTTP/1.1" 200 294 "-" "PostmanRuntime/7.44.0"
127.0.0.1 - - [29/May/2025:06:50:24 +0000] "DELETE /api/auth/6837ffa33083c5568ba6bd6c HTTP/1.1" 200 39 "-" "PostmanRuntime/7.44.0"
127.0.0.1 - - [29/May/2025:06:50:34 +0000] "GET /api/auth/users HTTP/1.1" 200 3214 "-" "PostmanRuntime/7.44.0"
127.0.0.1 - - [29/May/2025:06:50:45 +0000] "POST /api/auth/register HTTP/1.1" 201 42 "-" "PostmanRuntime/7.44.0"
127.0.0.1 - - [29/May/2025:06:51:07 +0000] "POST /api/auth/login HTTP/1.1" 200 213 "-" "PostmanRuntime/7.44.0"
127.0.0.1 - - [29/May/2025:06:52:36 +0000] "GET /api/auth/6837ffa33083c5568ba6bd6c/profile HTTP/1.1" 404 14 "-" "PostmanRuntime/7.44.0"
127.0.0.1 - - [31/May/2025:19:13:42 +0000] "POST /api/auth/register HTTP/1.1" 404 253 "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
127.0.0.1 - - [31/May/2025:19:14:59 +0000] "POST /api/users/register HTTP/1.1" 409 35 "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
127.0.0.1 - - [31/May/2025:19:15:12 +0000] "POST /api/users/register HTTP/1.1" 201 157 "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
127.0.0.1 - - [31/May/2025:19:15:23 +0000] "POST /api/login HTTP/1.1" 404 245 "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
127.0.0.1 - - [31/May/2025:19:15:47 +0000] "POST /api/users/login HTTP/1.1" 200 395 "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
127.0.0.1 - - [31/May/2025:19:17:09 +0000] "POST /api/users/login HTTP/1.1" 200 395 "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
127.0.0.1 - - [31/May/2025:19:17:20 +0000] "POST /api/users/login HTTP/1.1" 200 395 "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
127.0.0.1 - - [31/May/2025:19:19:27 +0000] "POST /api/users/login HTTP/1.1" 200 395 "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
127.0.0.1 - - [31/May/2025:19:19:27 +0000] "GET /api/auth HTTP/1.1" 404 243 "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
127.0.0.1 - - [31/May/2025:19:19:39 +0000] "POST /api/users/login HTTP/1.1" 200 395 "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
127.0.0.1 - - [31/May/2025:19:19:39 +0000] "GET /api/auth HTTP/1.1" 404 243 "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
